x=[0.729072], y=[0.770087], z=[0.000000]
x=[0.730087], y=[0.769150], z=[0.000000]
x=[0.731101], y=[0.768210], z=[0.000000]
x=[0.732113], y=[0.767269], z=[0.000000]
x=[0.733123], y=[0.766326], z=[0.000000]
x=[0.734131], y=[0.765381], z=[0.000000]
x=[0.735137], y=[0.764434], z=[0.000000]
x=[0.736141], y=[0.763485], z=[0.000000]
x=[0.737144], y=[0.762534], z=[0.000000]
x=[0.738144], y=[0.761581], z=[0.000000]
x=[0.739142], y=[0.760627], z=[0.000000]
x=[0.740139], y=[0.759670], z=[0.000000]
x=[0.741134], y=[0.758712], z=[0.000000]
x=[0.742126], y=[0.757751], z=[0.000000]
x=[0.743117], y=[0.756789], z=[0.000000]
x=[0.744106], y=[0.755825], z=[0.000000]
x=[0.745093], y=[0.754859], z=[0.000000]
x=[0.746078], y=[0.753891], z=[0.000000]
x=[0.747062], y=[0.752921], z=[0.000000]
x=[0.748043], y=[0.751949], z=[0.000000]
x=[0.749022], y=[0.750976], z=[0.000000]
x=[0.750000], y=[0.750000], z=[0.000000]
x=[0.750976], y=[0.749022], z=[0.000000]
x=[0.751949], y=[0.748043], z=[0.000000]
x=[0.752921], y=[0.747062], z=[0.000000]
x=[0.753891], y=[0.746078], z=[0.000000]
x=[0.754859], y=[0.745093], z=[0.000000]
x=[0.755825], y=[0.744106], z=[0.000000]
x=[0.756789], y=[0.743117], z=[0.000000]
x=[0.757751], y=[0.742126], z=[0.000000]
x=[0.758712], y=[0.741134], z=[0.000000]
x=[0.759670], y=[0.740139], z=[0.000000]
x=[0.760627], y=[0.739142], z=[0.000000]
x=[0.761581], y=[0.738144], z=[0.000000]
x=[0.762534], y=[0.737144], z=[0.000000]
x=[0.763485], y=[0.736141], z=[0.000000]
x=[0.764434], y=[0.735137], z=[0.000000]
x=[0.765381], y=[0.734131], z=[0.000000]
x=[0.766326], y=[0.733123], z=[0.000000]
x=[0.767269], y=[0.732113], z=[0.000000]
x=[0.768210], y=[0.731101], z=[0.000000]
x=[0.769150], y=[0.730087], z=[0.000000]
